"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
DAGGETT.C,20180615,2359,0.00,,99,67,,,,,,,,,,,,,,
DAGGETT.C,20180616,2359,0.00,,99,68,,,,,,,,,,,,,,
DAGGETT.C,20180617,2359,0.00,,101,67,,,,,,,,,,,,,,
DAGGETT.C,20180618,2359,0.00,,102,69,,,,,,,,,,,,,,
DAGGETT.C,20180619,2359,0.00,,102,69,,,,,,,,,,,,,,
DAGGETT.C,20180620,2359,0.00,,101,69,,,,,,,,,,,,,,
DAGGETT.C,20180621,2359,0.00,,101,69,,,,,,,,,,,,,,
DAGGETT.C,20180622,2359,0.01,,102,68,,,,,,,,,,,,,,
DAGGETT.C,20180623,2359,0.01,,102,70,,,,,,,,,,,,,,
DAGGETT.C,20180624,2359,0.00,,101,70,,,,,,,,,,,,,,
DAGGETT.C,20180625,2359,0.00,,102,70,,,,,,,,,,,,,,
DAGGETT.C,20180626,2359,0.00,,102,71,,,,,,,,,,,,,,
DAGGETT.C,20180627,2359,0.00,,103,71,,,,,,,,,,,,,,
DAGGETT.C,20180628,2359,0.00,,103,71,,,,,,,,,,,,,,
DAGGETT.C,20180629,2359,0.00,,103,71,,,,,,,,,,,,,,
DAGGETT.C,20180630,2359,0.00,,103,71,,,,,,,,,,,,,,
DAGGETT.C,20180701,2359,0.00,,104,71,,,,,,,,,,,,,,
DAGGETT.C,20180702,2359,0.00,,105,73,,,,,,,,,,,,,,
DAGGETT.C,20180703,2359,0.00,,105,74,,,,,,,,,,,,,,
DAGGETT.C,20180704,2359,0.00,,105,73,,,,,,,,,,,,,,
DAGGETT.C,20180705,2359,0.01,,106,73,,,,,,,,,,,,,,
DAGGETT.C,20180706,2359,0.00,,106,73,,,,,,,,,,,,,,
DAGGETT.C,20180707,2359,0.02,,104,73,,,,,,,,,,,,,,
DAGGETT.C,20180708,2359,0.02,,103,73,,,,,,,,,,,,,,
DAGGETT.C,20180709,2359,0.00,,105,74,,,,,,,,,,,,,,
DAGGETT.C,20180710,2359,0.00,,105,74,,,,,,,,,,,,,,
DAGGETT.C,20180711,2359,0.02,,104,74,,,,,,,,,,,,,,
DAGGETT.C,20180712,2359,0.01,,105,73,,,,,,,,,,,,,,
DAGGETT.C,20180713,2359,0.01,,105,74,,,,,,,,,,,,,,
DAGGETT.C,20180714,2359,0.02,,106,75,,,,,,,,,,,,,,
DAGGETT.C,20180715,2359,0.02,,104,76,,,,,,,,,,,,,,
DAGGETT.C,20180716,2359,0.00,,105,75,,,,,,,,,,,,,,
DAGGETT.C,20180717,2359,0.00,,105,74,,,,,,,,,,,,,,
DAGGETT.C,20180718,2359,0.02,,105,75,,,,,,,,,,,,,,
DAGGETT.C,20180719,2359,0.01,,105,74,,,,,,,,,,,,,,
DAGGETT.C,20180720,2359,0.00,,103,74,,,,,,,,,,,,,,
DAGGETT.C,20180721,2359,0.01,,104,74,,,,,,,,,,,,,,
DAGGETT.C,20180722,2359,0.13,,103,73,,,,,,,,,,,,,,
DAGGETT.C,20180723,2359,0.02,,104,74,,,,,,,,,,,,,,
DAGGETT.C,20180724,2359,0.04,,104,74,,,,,,,,,,,,,,
DAGGETT.C,20180725,2359,0.00,,105,73,,,,,,,,,,,,,,
DAGGETT.C,20180726,2359,0.03,,105,74,,,,,,,,,,,,,,
DAGGETT.C,20180727,2359,0.02,,106,75,,,,,,,,,,,,,,
DAGGETT.C,20180728,2359,0.00,,106,75,,,,,,,,,,,,,,
DAGGETT.C,20180729,2359,0.00,,106,75,,,,,,,,,,,,,,
DAGGETT.C,20180730,2359,0.00,,105,75,,,,,,,,,,,,,,
DAGGETT.C,20180731,2359,0.05,,105,74,,,,,,,,,,,,,,
DAGGETT.C,20180801,2359,0.00,,105,75,,,,,,,,,,,,,,
DAGGETT.C,20180802,2359,0.00,,106,73,,,,,,,,,,,,,,
DAGGETT.C,20180803,2359,0.00,,105,74,,,,,,,,,,,,,,
DAGGETT.C,20180804,2359,0.00,,105,74,,,,,,,,,,,,,,
DAGGETT.C,20180805,2359,0.00,,106,74,,,,,,,,,,,,,,
DAGGETT.C,20180806,2359,0.00,,105,74,,,,,,,,,,,,,,
DAGGETT.C,20180807,2359,0.01,,104,73,,,,,,,,,,,,,,
DAGGETT.C,20180808,2359,0.00,,104,73,,,,,,,,,,,,,,
DAGGETT.C,20180809,2359,0.06,,104,73,,,,,,,,,,,,,,
DAGGETT.C,20180810,2359,0.01,,104,74,,,,,,,,,,,,,,
DAGGETT.C,20180811,2359,0.00,,104,73,,,,,,,,,,,,,,
DAGGETT.C,20180812,2359,0.04,,104,74,,,,,,,,,,,,,,
DAGGETT.C,20180813,2359,0.00,,104,73,,,,,,,,,,,,,,
DAGGETT.C,20180814,2359,0.01,,104,74,,,,,,,,,,,,,,
DAGGETT.C,20180815,2359,0.01,,102,73,,,,,,,,,,,,,,
DAGGETT.C,20180816,2359,0.00,,103,72,,,,,,,,,,,,,,
DAGGETT.C,20180817,2359,0.02,,103,73,,,,,,,,,,,,,,
DAGGETT.C,20180818,2359,0.00,,102,73,,,,,,,,,,,,,,
DAGGETT.C,20180819,2359,0.03,,102,72,,,,,,,,,,,,,,
DAGGETT.C,20180820,2359,0.00,,102,71,,,,,,,,,,,,,,
DAGGETT.C,20180821,2359,0.01,,102,71,,,,,,,,,,,,,,
DAGGETT.C,20180822,2359,0.00,,102,71,,,,,,,,,,,,,,
DAGGETT.C,20180823,2359,0.00,,103,72,,,,,,,,,,,,,,
DAGGETT.C,20180824,2359,0.01,,102,71,,,,,,,,,,,,,,
DAGGETT.C,20180825,2359,0.02,,102,72,,,,,,,,,,,,,,
DAGGETT.C,20180826,2359,0.00,,102,73,,,,,,,,,,,,,,
DAGGETT.C,20180827,2359,0.00,,103,72,,,,,,,,,,,,,,
DAGGETT.C,20180828,2359,0.00,,103,72,,,,,,,,,,,,,,
DAGGETT.C,20180829,2359,0.01,,103,72,,,,,,,,,,,,,,
DAGGETT.C,20180830,2359,0.00,,102,72,,,,,,,,,,,,,,
DAGGETT.C,20180831,2359,0.00,,102,70,,,,,,,,,,,,,,
DAGGETT.C,20180901,2359,0.00,,101,71,,,,,,,,,,,,,,
DAGGETT.C,20180902,2359,0.00,,101,71,,,,,,,,,,,,,,
DAGGETT.C,20180903,2359,0.02,,101,71,,,,,,,,,,,,,,
DAGGETT.C,20180904,2359,0.04,,99,70,,,,,,,,,,,,,,
DAGGETT.C,20180905,2359,0.04,,99,70,,,,,,,,,,,,,,
DAGGETT.C,20180906,2359,0.00,,99,70,,,,,,,,,,,,,,
DAGGETT.C,20180907,2359,0.01,,99,69,,,,,,,,,,,,,,
DAGGETT.C,20180908,2359,0.00,,98,69,,,,,,,,,,,,,,
DAGGETT.C,20180909,2359,0.00,,98,68,,,,,,,,,,,,,,
DAGGETT.C,20180910,2359,0.00,,97,67,,,,,,,,,,,,,,
DAGGETT.C,20180911,2359,0.01,,97,66,,,,,,,,,,,,,,
DAGGETT.C,20180912,2359,0.00,,97,66,,,,,,,,,,,,,,
DAGGETT.C,20180913,2359,0.00,,96,66,,,,,,,,,,,,,,
DAGGETT.C,20180914,2359,0.00,,97,65,,,,,,,,,,,,,,
DAGGETT.C,20180915,2359,0.00,,97,65,,,,,,,,,,,,,,
DAGGETT.C,20180916,2359,0.00,,95,66,,,,,,,,,,,,,,
DAGGETT.C,20180917,2359,0.00,,95,65,,,,,,,,,,,,,,
DAGGETT.C,20180918,2359,0.00,,93,65,,,,,,,,,,,,,,
DAGGETT.C,20180919,2359,0.00,,93,64,,,,,,,,,,,,,,
DAGGETT.C,20180920,2359,0.01,,92,64,,,,,,,,,,,,,,
DAGGETT.C,20180921,2359,0.00,,93,63,,,,,,,,,,,,,,
DAGGETT.C,20180922,2359,0.01,,92,62,,,,,,,,,,,,,,
DAGGETT.C,20180923,2359,0.00,,93,63,,,,,,,,,,,,,,
DAGGETT.C,20180924,2359,0.00,,93,63,,,,,,,,,,,,,,
DAGGETT.C,20180925,2359,0.05,,93,63,,,,,,,,,,,,,,
DAGGETT.C,20180926,2359,0.01,,94,64,,,,,,,,,,,,,,
DAGGETT.C,20180927,2359,0.00,,93,64,,,,,,,,,,,,,,
DAGGETT.C,20180928,2359,0.00,,92,63,,,,,,,,,,,,,,
DAGGETT.C,20180929,2359,0.01,,91,62,,,,,,,,,,,,,,
DAGGETT.C,20180930,2359,0.00,,91,60,,,,,,,,,,,,,,
DAGGETT.C,20181001,2359,0.01,,91,62,,,,,,,,,,,,,,
DAGGETT.C,20181002,2359,0.00,,90,61,,,,,,,,,,,,,,
DAGGETT.C,20181003,2359,0.00,,90,60,,,,,,,,,,,,,,
DAGGETT.C,20181004,2359,0.00,,88,60,,,,,,,,,,,,,,
DAGGETT.C,20181005,2359,0.01,,86,59,,,,,,,,,,,,,,
DAGGETT.C,20181006,2359,0.00,,86,57,,,,,,,,,,,,,,
DAGGETT.C,20181007,2359,0.03,,86,57,,,,,,,,,,,,,,
DAGGETT.C,20181008,2359,0.00,,88,58,,,,,,,,,,,,,,
DAGGETT.C,20181009,2359,0.00,,88,58,,,,,,,,,,,,,,
DAGGETT.C,20181010,2359,0.01,,86,56,,,,,,,,,,,,,,
DAGGETT.C,20181011,2359,0.00,,85,56,,,,,,,,,,,,,,
DAGGETT.C,20181012,2359,0.00,,84,55,,,,,,,,,,,,,,
DAGGETT.C,20181013,2359,0.00,,85,55,,,,,,,,,,,,,,
DAGGETT.C,20181014,2359,0.00,,84,55,,,,,,,,,,,,,,
DAGGETT.C,20181015,2359,0.00,,85,56,,,,,,,,,,,,,,
DAGGETT.C,20181016,2359,0.00,,84,55,,,,,,,,,,,,,,
DAGGETT.C,20181017,2359,0.01,,83,55,,,,,,,,,,,,,,
DAGGETT.C,20181018,2359,0.00,,84,54,,,,,,,,,,,,,,
DAGGETT.C,20181019,2359,0.00,,83,54,,,,,,,,,,,,,,
DAGGETT.C,20181020,2359,0.03,,82,53,,,,,,,,,,,,,,
DAGGETT.C,20181021,2359,0.00,,80,53,,,,,,,,,,,,,,
DAGGETT.C,20181022,2359,0.00,,80,52,,,,,,,,,,,,,,
DAGGETT.C,20181023,2359,0.02,,80,52,,,,,,,,,,,,,,
DAGGETT.C,20181024,2359,0.01,,81,53,,,,,,,,,,,,,,
DAGGETT.C,20181025,2359,0.00,,79,52,,,,,,,,,,,,,,
DAGGETT.C,20181026,2359,0.01,,79,50,,,,,,,,,,,,,,
DAGGETT.C,20181027,2359,0.02,,78,51,,,,,,,,,,,,,,
DAGGETT.C,20181028,2359,0.00,,77,51,,,,,,,,,,,,,,
DAGGETT.C,20181029,2359,0.00,,77,51,,,,,,,,,,,,,,
DAGGETT.C,20181030,2359,0.01,,75,50,,,,,,,,,,,,,,
DAGGETT.C,20181031,2359,0.01,,75,49,,,,,,,,,,,,,,
DAGGETT.C,20181101,2359,0.00,,75,48,,,,,,,,,,,,,,
DAGGETT.C,20181102,2359,0.00,,75,48,,,,,,,,,,,,,,
DAGGETT.C,20181103,2359,0.00,,76,46,,,,,,,,,,,,,,
 
